,RosterID,No.,Acronym,Name,Position,GamesPlayed,GamesStarted,Weight,Height,College,BirthDate,Years,Age,AV
18,sfo90,90,sfo,Kevin Givens,DL,13,0.0,285.0,6-1,Penn St.,3/1/1997,2,24.0,1.0
19,sfo09,9,sfo,Robbie Gould,K,13,0.0,190.0,6-0,Penn St.,12/6/1982,16,39.0,3.0
20,sfo57,57,sfo,Dre Greenlaw,LB,3,2.0,230.0,6-0,Arkansas,5/27/1997,2,24.0,2.0
21,sfo26,26,sfo,Davontae Harris,CB,1,0.0,200.0,5-11,Illinois St.,1/21/1995,3,26.0,0.0
22,sfo36,36,sfo,Marcell Harris,S,15,7.0,215.0,6-0,Florida,6/9/1994,3,27.0,7.0
23,sfo23,23,sfo,Jamycal Hasty,RB,11,0.0,205.0,5-8,Baylor,9/12/1996,1,25.0,2.0
24,sfo35,35,sfo,Brian Hill,RB,3,0.0,219.0,6-1,Wyoming,11/9/1995,4,26.0,0.0
25,sfo84,84,sfo,Tanner Hudson,TE,2,0.0,239.0,6-5,Southern Arkansas,11/12/1994,2,27.0,0.0
26,sfo29,29,sfo,Talanoa Hufanga,S,15,3.0,200.0,6-0,USC,2/2/1999,Rook,22.0,2.0
27,sfo96,96,sfo,Maurice Hurst Jr.,DT,2,0.0,291.0,6-2,Michigan,5/9/1995,3,26.0,0.0
28,sfo25,25,sfo,Tony Jefferson,FS,2,0.0,211.0,5-11,Oklahoma,1/27/1992,8,29.0,0.0
29,sfo15,15,sfo,Jauan Jennings,WR,16,1.0,212.0,6-3,Tennessee,7/10/1997,Rook,24.0,2.0
30,sfo27,27,sfo,Dontae Johnson,FS,16,3.0,200.0,6-2,North Carolina St.,12/1/1991,7,30.0,2.0
31,sfo48,48,sfo,Kerryon Johnson,RB,1,0.0,211.0,5-11,Auburn,6/30/1997,3,24.0,0.0
32,sfo93,93,sfo,D.J. Jones,DT,17,17.0,305.0,6-0,"East Mississippi CC,Mississippi",1/19/1995,4,26.0,8.0
33,sfo44,44,sfo,Kyle Juszczyk,FB,17,16.0,235.0,6-1,Harvard,4/23/1991,8,30.0,3.0
34,sfo92,92,sfo,Zach Kerr,NT,4,0.0,334.0,6-2,Delaware,8/29/1990,7,31.0,0.0
35,sfo98,98,sfo,Arden Key,DE,17,0.0,240.0,6-5,LSU,5/3/1996,3,25.0,2.0
36,sfo99,99,sfo,Javon Kinlaw,DL,4,4.0,319.0,6-5,South Carolina,10/3/1997,1,24.0,2.0
37,sfo13,13,sfo,Dre Kirkpatrick,CB,6,1.0,190.0,6-2,Alabama,10/26/1989,9,32.0,1.0
38,sfo85,85,sfo,George Kittle,TE,14,14.0,250.0,6-4,Iowa,10/9/1993,4,28.0,8.0
39,sfo05,5,sfo,Trey Lance,QB,6,2.0,224.0,6-4,North Dakota St.,5/9/2000,Rook,21.0,3.0
40,sfo38,38,sfo,Deommodore Lenoir,DB,13,2.0,200.0,5-10,Oregon,10/6/1999,Rook,22.0,1.0
41,sfo50,50,sfo,Alex Mack,C,17,17.0,311.0,6-4,California,11/19/1985,12,36.0,9.0
42,sfo59,59,sfo,Justin March,RILB,1,0.0,222.0,6-0,Akron,7/5/1993,5,28.0,0.0
43,sfo88,88,sfo,Jordan Matthews,WR,1,0.0,215.0,6-3,Vanderbilt,7/16/1992,7,29.0,0.0
44,sfo69,69,sfo,Mike McGlinchey,OT,8,8.0,310.0,6-8,Notre Dame,1/12/1995,3,26.0,4.0
45,sfo68,68,sfo,Colton McKivitz,OL,1,1.0,306.0,6-6,West Virginia,8/9/1996,1,25.0,0.0
46,sfo25,25,sfo,Elijah Mitchell,RB,11,10.0,200.0,5-10,Louisiana,5/2/1998,Rook,23.0,7.0
47,sfo76,76,sfo,Jaylon Moore,OL,7,3.0,311.0,6-4,Western Michigan,1/9/1998,Rook,23.0,2.0
48,sfo04,4,sfo,Emmanuel Moseley,CB,11,11.0,190.0,5-11,Tennessee,3/25/1996,3,25.0,4.0
49,sfo31,31,sfo,Raheem Mostert,RB,1,1.0,205.0,5-10,Purdue,4/9/1992,6,29.0,0.0
50,sfo43,43,sfo,Kai Nacua,FS,1,0.0,205.0,6-0,BYU,3/3/1995,4,26.0,0.0
51,sfo26,26,sfo,Josh Norman,CB,15,14.0,200.0,6-0,Coastal Carolina,12/15/1987,9,34.0,5.0
52,sfo53,53,sfo,Mark Nzeocha,OLB,2,0.0,240.0,6-3,Wyoming,1/19/1990,6,31.0,0.0
53,sfo92,92,sfo,Charles Omenihu,DL,9,0.0,280.0,6-5,Texas,8/20/1997,2,24.0,1.0
54,sfo31,31,sfo,Jacques Patrick,RB,2,0.0,234.0,6-3,Florida St.,1/7/1997,Rook,24.0,0.0
55,sfo46,46,sfo,Taybor Pepper,LS,17,0.0,245.0,6-4,Michigan St.,5/28/1994,4,27.0,1.0
56,sfo59,59,sfo,Curtis Robinson,,3,0.0,236.0,6-3,Stanford,6/2/1998,Rook,23.0,0.0
57,sfo19,19,sfo,Deebo Samuel,WR,16,15.0,215.0,6-0,South Carolina,1/15/1996,2,25.0,14.0
58,sfo18,18,sfo,Mohamed Sanu,WR,8,0.0,210.0,6-2,Rutgers,8/23/1989,9,32.0,2.0
59,sfo28,28,sfo,Trey Sermon,RB,9,2.0,215.0,6-0,"Oklahoma,Ohio St.",1/30/1999,Rook,22.0,1.0
60,sfo81,81,sfo,Trent Sherfield,WR,17,1.0,219.0,6-1,Vanderbilt,2/26/1996,3,25.0,1.0
61,sfo41,41,sfo,Buster Skrine,DB,1,0.0,187.0,5-9,Chattanooga,4/26/1989,10,32.0,0.0
62,sfo14,14,sfo,Joey Slye,K,3,0.0,213.0,5-11,Virginia Tech,4/10/1996,2,25.0,1.0
63,sfo47,47,sfo,Saivion Smith,CB,1,0.0,200.0,6-1,Alabama,11/5/1997,1,24.0,0.0
64,sfo95,95,sfo,Kentavius Street,DT,17,2.0,287.0,6-2,North Carolina St.,5/8/1996,3,25.0,2.0
65,sfo26,26,sfo,Jaquiski Tartt,SS,14,14.0,215.0,6-1,Samford,2/18/1992,6,29.0,5.0
66,sfo20,20,sfo,Ambry Thomas,CB,12,5.0,190.0,6-0,Michigan,9/9/1999,Rook,22.0,2.0
67,sfo75,75,sfo,Laken Tomlinson,OG,17,17.0,315.0,6-3,Duke,2/9/1992,6,29.0,9.0
68,sfo02,2,sfo,Jason Verrett,CB,1,1.0,188.0,5-10,TCU,6/18/1991,7,30.0,0.0
69,sfo01,1,sfo,Jimmie Ward,SS,16,16.0,195.0,5-11,Northern Illinois,7/18/1991,7,30.0,6.0
70,sfo54,54,sfo,Fred Warner,OLB,16,16.0,230.0,6-3,BYU,11/19/1996,3,25.0,8.0
71,sfo24,24,sfo,K'Waun Williams,DB,14,8.0,185.0,5-9,Pittsburgh,7/12/1991,7,30.0,3.0
72,sfo71,71,sfo,Trent Williams,T,15,15.0,320.0,6-5,Oklahoma,7/19/1988,11,33.0,14.0
73,sfo94,94,sfo,Jordan Willis,DE,10,0.0,270.0,6-4,Kansas St.,5/2/1995,4,26.0,1.0
74,sfo30,30,sfo,Jarrod Wilson,S,4,0.0,209.0,6-1,Michigan,2/9/1994,5,27.0,0.0
75,sfo22,22,sfo,Jeff Wilson,RB,9,4.0,194.0,6-0,North Texas,11/16/1995,3,26.0,2.0
76,sfo32,32,sfo,Tavon Wilson,FS,8,1.0,208.0,6-0,Illinois,3/19/1990,9,31.0,1.0
77,sfo18,18,sfo,Mitch Wishnowsky,P,17,0.0,220.0,6-2,Utah,3/3/1992,2,29.0,1.0
78,sfo89,89,sfo,Charlie Woerner,TE,17,3.0,241.0,6-5,Georgia,10/16/1997,1,24.0,0.0
0,chi13,13,chi,Rodney Adams,WR,1,0.0,189.0,6-1,South Florida,9/15/1994,4,27.0,0.0
1,chi50,50,chi,Jeremiah Attaochu,OLB,5,0.0,262.0,6-3,Georgia Tech,1/17/1993,7,28.0,0.0
2,chi64,64,chi,Alex Bars,T,17,3.0,334.0,6-5,Notre Dame,9/8/1995,2,26.0,2.0
3,chi90,90,chi,Angelo Blackson,DT,17,8.0,315.0,6-4,Auburn,11/14/1992,6,29.0,4.0
4,chi75,75,chi,Larry Borom,OL,10,8.0,333.0,6-5,Missouri,3/30/1999,Rook,22.0,3.0
5,chi25,25,chi,Artie Burns,CB,11,6.0,197.0,6-0,Miami (FL),5/1/1995,5,26.0,2.0
6,chi26,26,chi,Deon Bush,FS,14,4.0,187.0,6-0,Miami (FL),8/14/1993,5,28.0,2.0
7,chi10,10,chi,Damiere Byrd,WR,17,4.0,175.0,5-9,South Carolina,1/27/1993,5,28.0,3.0
8,chi23,23,chi,Marqui Christian,SS,17,1.0,195.0,5-11,Midwestern St.,10/27/1994,5,27.0,1.0
9,chi19,19,chi,Isaiah Coulter,WR,3,0.0,198.0,6-2,Rhode Island,9/18/1998,1,23.0,0.0
10,chi21,21,chi,Xavier Crawford,CB,13,2.0,185.0,5-11,Central Michigan,12/10/1995,2,26.0,1.0
11,chi14,14,chi,Andy Dalton,QB,8,6.0,219.0,6-2,TCU,10/29/1987,10,34.0,3.0
12,chi68,68,chi,James Daniels,C,17,17.0,327.0,6-4,Iowa,9/13/1997,3,24.0,6.0
13,chi97,97,chi,Mario Edwards,DE,12,1.0,280.0,6-3,Florida St.,1/25/1994,6,27.0,1.0
14,chi60,60,chi,Dieter Eiselen,G,2,0.0,300.0,6-4,Yale,6/10/1996,1,25.0,0.0
15,chi01,1,chi,Justin Fields,QB,12,10.0,228.0,6-3,"Georgia,Ohio St.",3/5/1999,Rook,22.0,6.0
16,chi09,9,chi,Nick Foles,QB,1,1.0,262.0,6-6,Arizona,1/20/1989,9,32.0,1.0
17,chi38,38,chi,Tashaun Gipson,DB,12,12.0,207.0,6-1,Wyoming,8/7/1990,9,31.0,4.0
18,chi99,99,chi,Trevis Gipson,DL,16,9.0,263.0,6-4,Tulsa,6/13/1997,1,24.0,4.0
19,chi91,91,chi,Eddie Goldman,DT,14,10.0,325.0,6-3,Florida St.,1/6/1994,6,27.0,4.0
20,chi84,84,chi,Marquise Goodwin,WR,14,2.0,180.0,5-9,Texas,11/19/1990,8,31.0,3.0
21,chi80,80,chi,Jimmy Graham,TE,15,6.0,259.0,6-7,Miami (FL),11/24/1986,11,35.0,1.0
22,chi27,27,chi,Thomas Graham,CB,4,1.0,193.0,5-11,Oregon,6/26/1999,Rook,22.0,0.0
23,chi17,17,chi,Jakeem Grant,WR,11,0.0,171.0,5-7,Texas Tech,10/30/1992,5,29.0,2.0
24,chi24,24,chi,Khalil Herbert,RB,17,2.0,212.0,5-9,"Kansas,Virginia Tech",4/21/1998,Rook,23.0,3.0
25,chi96,96,chi,Akiem Hicks,DE,9,9.0,335.0,6-4,Regina,11/16/1989,9,32.0,3.0
26,chi81,81,chi,J.P. Holtz,TE,13,0.0,246.0,6-3,Pittsburgh,8/28/1993,3,28.0,0.0
27,chi87,87,chi,Jesper Horsted,WR,7,0.0,241.0,6-4,Princeton,2/27/1997,2,24.0,0.0
28,chi36,36,chi,DeAndre Houston-Carson,FS,13,3.0,202.0,6-0,William & Mary,4/13/1993,5,28.0,2.0
29,chi93,93,chi,Margus Hunt,DE,10,0.0,295.0,6-8,SMU,7/14/1987,8,34.0,1.0
30,chi74,74,chi,Germain Ifedi,OT,9,7.0,344.0,6-5,Texas A&M,6/2/1994,5,27.0,3.0
31,chi46,46,chi,Bruce Irvin,DE,6,1.0,250.0,6-3,"Butler (KS),West Virginia",11/1/1987,9,34.0,1.0
32,chi45,45,chi,Joel Iyiegbuniwe,LB,11,0.0,235.0,6-1,Western Kentucky,10/12/1995,3,26.0,1.0
33,chi04,4,chi,Eddie Jackson,SS,14,14.0,206.0,6-0,Alabama,12/10/1993,4,28.0,4.0
34,chi18,18,chi,Jesse James,TE,14,9.0,251.0,6-7,Penn St.,6/4/1994,6,27.0,1.0
35,chi76,76,chi,Teven Jenkins,T,6,2.0,320.0,6-6,Oklahoma St.,3/3/1998,Rook,23.0,1.0
36,chi92,92,chi,Caleb Johnson,LB,14,0.0,227.0,6-2,Houston Baptist,7/28/1998,Rook,23.0,1.0
37,chi33,33,chi,Jaylon Johnson,CB,15,15.0,196.0,6-0,Utah,4/19/1999,1,22.0,5.0
38,chi57,57,chi,Christian Jones,ILB,17,1.0,245.0,6-3,Florida St.,2/18/1991,7,30.0,1.0
39,chi31,31,chi,Michael Joseph,CB,1,0.0,194.0,6-0,Dubuque,3/19/1995,Rook,26.0,0.0
40,chi46,46,chi,Sam Kamara,LB,8,0.0,275.0,6-2,Stony Brook,12/21/1997,Rook,24.0,0.0
41,chi39,39,chi,Thakarius Keyes,CB,1,0.0,202.0,6-1,Tulane,11/9/1997,1,24.0,0.0
42,chi85,85,chi,Cole Kmet,TE,17,17.0,260.0,6-6,Notre Dame,3/10/1999,1,22.0,5.0
43,chi63,63,chi,LaCale London,DT,1,0.0,280.0,6-5,Western Illinois,8/5/1997,Rook,24.0,0.0
44,chi52,52,chi,Khalil Mack,OLB,7,7.0,267.0,6-3,Buffalo,2/22/1991,7,30.0,3.0
45,chi43,43,chi,Ledarius Mack,DE,3,0.0,240.0,6-1,Buffalo,10/3/1996,Rook,25.0,0.0
46,chi59,59,chi,Cassius Marsh,DE,4,0.0,254.0,6-4,UCLA,7/7/1992,7,29.0,0.0
47,chi32,32,chi,David Montgomery,RB,13,13.0,224.0,5-11,Iowa St.,6/7/1997,2,24.0,6.0
48,chi11,11,chi,Darnell Mooney,WR,17,14.0,173.0,5-11,Tulane,10/29/1997,1,24.0,9.0
49,chi67,67,chi,Sam Mustipher,C,17,17.0,332.0,6-2,Notre Dame,8/13/1996,1,25.0,6.0
50,chi35,35,chi,Ryan Nall,RB,9,0.0,239.0,6-2,Oregon St.,12/27/1995,2,26.0,0.0
51,chi83,83,chi,Dazz Newsome,WR,3,1.0,190.0,5-11,North Carolina,5/15/1999,Rook,22.0,0.0
52,chi98,98,chi,Bilal Nichols,DT,17,15.0,302.0,6-3,Delaware,9/14/1996,3,25.0,6.0
53,chi16,16,chi,Pat O'Donnell,P,17,0.0,223.0,6-4,Miami (FL),2/22/1991,7,30.0,2.0
54,chi44,44,chi,Alec Ogletree,OLB,16,16.0,250.0,6-3,Georgia,9/25/1991,8,30.0,6.0
55,chi71,71,chi,Jason Peters,T,15,15.0,328.0,6-4,Arkansas,1/22/1982,17,39.0,6.0
56,chi31,31,chi,Artavis Pierce,RB,1,0.0,208.0,5-11,Oregon St.,5/17/1996,1,25.0,0.0
57,chi94,94,chi,Robert Quinn,DE,16,16.0,245.0,6-4,North Carolina,5/18/1990,10,31.0,11.0
58,chi12,12,chi,Allen Robinson,WR,12,11.0,220.0,6-2,Penn St.,8/24/1993,7,28.0,3.0
59,chi02,2,chi,Cairo Santos,K,17,0.0,175.0,5-8,Tulane,11/12/1991,7,30.0,3.0
60,chi48,48,chi,Patrick Scales,LS,17,0.0,226.0,6-3,Utah St.,2/11/1988,7,33.0,1.0
61,chi20,20,chi,Duke Shelley,CB,10,4.0,176.0,5-9,Kansas St.,10/8/1996,2,25.0,1.0
62,chi73,73,chi,Lachavious Simmons,G,2,1.0,319.0,6-5,Tennessee St.,9/12/1996,Rook,25.0,0.0
63,chi58,58,chi,Roquan Smith,ILB,17,17.0,232.0,6-1,Georgia,4/8/1997,3,24.0,11.0
64,chi49,49,chi,Charles Snowden,OLB,2,0.0,240.0,6-7,Virginia,3/27/1998,Rook,23.0,0.0
65,chi79,79,chi,Damion Square,DE,1,0.0,293.0,6-2,Alabama,2/6/1989,8,32.0,0.0
66,chi37,37,chi,Teez Tabor,CB,6,1.0,191.0,6-0,Florida,12/31/1995,4,26.0,1.0
67,chi79,79,chi,Alex Taylor,T,1,0.0,301.0,6-8,South Carolina St.,4/29/1997,1,24.0,0.0
68,chi95,95,chi,Khyiris Tonga,DT,15,2.0,338.0,6-4,BYU,7/7/1996,Rook,25.0,2.0
69,chi59,59,chi,Danny Trevathan,OLB,5,1.0,239.0,6-0,Kentucky,3/24/1990,9,31.0,1.0
70,chi22,22,chi,Kindle Vildor,CB,17,12.0,189.0,5-11,Georgia Southern,12/11/1997,1,24.0,4.0
71,chi30,30,chi,Dee Virgin,CB,2,0.0,195.0,5-9,West Alabama,10/29/1993,3,28.0,0.0
72,chi15,15,chi,Nsimba Webster,WR,6,0.0,180.0,5-10,East. Washington,1/27/1996,2,25.0,0.0
73,chi65,65,chi,Cody Whitehair,OG,17,17.0,316.0,6-3,Kansas St.,7/11/1992,5,29.0,6.0
74,chi70,70,chi,Elijah Wilkinson,OT,13,1.0,322.0,6-6,Massachusetts,2/10/1995,4,26.0,1.0
75,chi08,8,chi,Damien Williams,RB,12,2.0,225.0,5-11,Oklahoma,4/3/1992,7,29.0,2.0
76,chi55,55,chi,Josh Woods,LB,1,0.0,236.0,6-1,Maryland,7/1/1996,2,25.0,0.0
0,cin77,77,cin,Hakeem Adeniji,OL,9,9.0,300.0,6-5,Kansas,12/8/1997,1,24.0,4.0
1,cin08,8,cin,Brandon Allen,QB,6,1.0,209.0,6-2,Arkansas,9/5/1992,3,29.0,0.0
2,cin37,37,cin,Ricardo Allen,CB,14,1.0,186.0,5-9,Purdue,12/18/1991,7,30.0,1.0
3,cin20,20,cin,Eli Apple,CB,16,15.0,199.0,6-1,Ohio St.,8/9/1995,5,26.0,6.0
4,cin22,22,cin,Chidobe Awuzie,CB,14,14.0,202.0,6-0,Colorado,5/24/1995,4,26.0,5.0
5,cin49,49,cin,Joe Bachie,LB,9,2.0,235.0,6-2,Michigan St.,2/26/1998,1,23.0,2.0
6,cin51,51,cin,Markus Bailey,LB,16,3.0,235.0,6-0,Purdue,3/7/1997,1,24.0,3.0
7,cin30,30,cin,Jessie Bates III,FS,15,15.0,200.0,6-1,Wake Forest,2/26/1997,3,24.0,6.0
8,cin24,24,cin,Vonn Bell,SS,16,16.0,205.0,5-11,Ohio St.,12/12/1994,5,27.0,6.0
9,cin83,83,cin,Tyler Boyd,WR,16,10.0,203.0,6-2,Pittsburgh,11/15/1994,5,27.0,8.0
10,cin09,9,cin,Joe Burrow,QB,16,16.0,221.0,6-4,"Ohio St.,LSU",12/10/1996,1,25.0,15.0
11,cin48,48,cin,Austin Calitro,RILB,5,0.0,240.0,6-0,Villanova,1/10/1994,3,27.0,0.0
12,cin79,79,cin,Jackson Carman,G,17,6.0,330.0,6-5,Clemson,1/22/2000,Rook,21.0,4.0
13,cin01,1,cin,Ja'Marr Chase,WR,17,17.0,200.0,6-1,LSU,3/1/2000,Rook,21.0,13.0
14,cin76,76,cin,Mike Daniels,DT,2,1.0,310.0,6-0,Iowa,5/5/1989,9,32.0,1.0
15,cin35,35,cin,Jalen Davis,CB,15,0.0,185.0,5-10,Utah St.,2/2/1996,3,25.0,1.0
16,cin33,33,cin,Sean Davis,FS,3,0.0,202.0,6-1,Maryland,10/23/1993,5,28.0,0.0
17,cin59,59,cin,Akeem Davis-Gaither,LB,9,0.0,215.0,6-2,Appalachian St.,9/21/1997,1,24.0,1.0
18,cin25,25,cin,Chris Evans,RB,14,1.0,219.0,5-11,Michigan,10/5/1997,Rook,24.0,2.0
19,cin50,50,cin,Jordan Evans,ILB,5,0.0,242.0,6-3,Oklahoma,1/27/1995,4,26.0,0.0
20,cin33,33,cin,Tre Flowers,SS,11,1.0,203.0,6-3,Oklahoma St.,6/2/1995,3,26.0,1.0
21,cin03,3,cin,Elliott Fry,K,1,0.0,170.0,6-0,South Carolina,12/12/1994,1,27.0,0.0
22,cin29,29,cin,Vernon Hargreaves III,CB,4,1.0,204.0,5-10,Florida,6/3/1995,5,26.0,1.0
23,cin46,46,cin,Clark Harris,TE,17,0.0,250.0,6-5,Rutgers,7/10/1984,13,37.0,1.0
24,cin41,41,cin,Trayvon Henderson,S,2,0.0,205.0,6-0,Hawaii,8/15/1995,3,26.0,1.0
25,cin91,91,cin,Trey Hendrickson,DE,16,14.0,270.0,6-4,Florida Atlantic,12/5/1994,4,27.0,11.0
26,cin85,85,cin,Tee Higgins,WR,14,14.0,215.0,6-4,Clemson,1/18/1999,1,22.0,10.0
27,cin92,92,cin,B.J. Hill,DT,16,2.0,303.0,6-3,North Carolina St.,4/20/1995,3,26.0,3.0
28,cin63,63,cin,Trey Hill,C,13,3.0,320.0,6-4,Georgia,1/23/2000,Rook,21.0,2.0
29,cin21,21,cin,Mike Hilton,CB,17,9.0,184.0,5-9,Mississippi,3/9/1994,4,27.0,4.0
30,cin44,44,cin,Darius Hodge,DE,4,0.0,245.0,6-1,Marshall,7/3/1998,Rook,23.0,0.0
31,cin66,66,cin,Trey Hopkins,G,15,15.0,316.0,6-3,Texas,7/6/1992,7,29.0,7.0
32,cin94,94,cin,Sam Hubbard,DE,16,16.0,265.0,6-5,Ohio St.,6/29/1995,3,26.0,9.0
33,cin10,10,cin,Kevin Huber,P,17,0.0,210.0,6-1,Cincinnati,7/16/1985,12,36.0,3.0
34,cin16,16,cin,Trenton Irwin,WR,7,0.0,207.0,6-2,Stanford,12/10/1995,2,26.0,0.0
35,cin74,74,cin,Fred Johnson,G,5,1.0,326.0,6-7,Florida,6/5/1997,2,24.0,1.0
36,cin44,44,cin,Clay Johnston,LB,7,1.0,225.0,6-1,Baylor,8/8/1996,1,25.0,1.0
37,cin47,47,cin,Keandre Jones,LB,5,0.0,220.0,6-3,Maryland,9/24/1997,1,24.0,0.0
38,cin90,90,cin,Khalid Kareem,DL,7,1.0,265.0,6-4,Notre Dame,4/28/1998,1,23.0,1.0
39,cin29,29,cin,Nick McCloud,CB,2,0.0,193.0,6-0,"North Carolina St.,Notre Dame",7/9/1998,Rook,23.0,0.0
40,cin02,2,cin,Evan McPherson,K,16,0.0,195.0,5-10,Florida,7/21/1999,Rook,22.0,4.0
41,cin28,28,cin,Joe Mixon,RB,16,16.0,220.0,6-1,Oklahoma,7/24/1996,4,25.0,10.0
42,cin17,17,cin,Stanley Morgan Jr.,WR,17,1.0,205.0,6-0,Nebraska,9/7/1996,2,25.0,0.0
43,cin65,65,cin,Larry Ogunjobi,DT,16,16.0,305.0,6-4,Charlotte,6/3/1994,4,27.0,8.0
44,cin34,34,cin,Samaje Perine,RB,16,0.0,240.0,5-11,Oklahoma,9/16/1995,4,26.0,3.0
45,cin23,23,cin,Darius Phillips,CB,12,0.0,190.0,5-10,Western Michigan,6/26/1995,3,26.0,1.0
46,cin57,57,cin,Germaine Pratt,LB,15,15.0,245.0,6-2,North Carolina St.,5/21/1996,2,25.0,8.0
47,cin75,75,cin,Isaiah Prince,OL,15,4.0,305.0,6-7,Ohio St.,7/29/1997,2,24.0,3.0
48,cin93,93,cin,Wyatt Ray,DE,15,1.0,250.0,6-3,Boston Col.,10/24/1996,1,25.0,2.0
49,cin98,98,cin,D.J. Reader,DT,15,15.0,347.0,6-3,Clemson,7/1/1994,5,27.0,7.0
50,cin71,71,cin,Riley Reiff,OT,12,12.0,313.0,6-5,Iowa,12/1/1988,9,33.0,7.0
51,cin96,96,cin,Cameron Sample,DE,14,0.0,274.0,6-3,Tulane,9/20/1999,Rook,22.0,1.0
52,cin89,89,cin,Drew Sample,TE,17,8.0,258.0,6-4,Washington,4/16/1996,2,25.0,1.0
53,cin86,86,cin,Mason Schreck,TE,1,0.0,252.0,6-5,Buffalo,11/4/1993,3,28.0,0.0
54,cin99,99,cin,Tyler Shelvin,DT,3,0.0,346.0,6-3,LSU,7/22/1998,Rook,23.0,0.0
55,cin70,70,cin,D'Ante Smith,T,2,1.0,294.0,6-5,East Carolina,6/9/1998,Rook,23.0,1.0
56,cin67,67,cin,Quinton Spain,OG,16,16.0,330.0,6-4,West Virginia,8/7/1991,6,30.0,8.0
57,cin52,52,cin,Noah Spence,DE,2,0.0,251.0,6-2,"Ohio St.,East. Kentucky",1/8/1994,5,27.0,0.0
58,cin72,72,cin,Xavier Su'a-Filo,OG,2,2.0,312.0,6-4,UCLA,1/1/1991,7,30.0,1.0
59,cin64,64,cin,Keaton Sutherland,G,1,0.0,315.0,6-5,Texas A&M,2/12/1997,2,24.0,0.0
60,cin19,19,cin,Auden Tate,WR,7,0.0,228.0,6-5,Florida St.,2/3/1997,3,24.0,0.0
61,cin11,11,cin,Trent Taylor,WR,4,0.0,180.0,5-8,Louisiana Tech,4/30/1994,4,27.0,0.0
62,cin31,31,cin,Michael Thomas,S,8,1.0,195.0,5-11,Stanford,3/17/1990,8,31.0,1.0
63,cin80,80,cin,Mike Thomas,WR,12,1.0,189.0,6-1,Southern Miss,8/16/1994,5,27.0,0.0
64,cin68,68,cin,Josh Tupou,DT,17,9.0,345.0,6-3,Colorado,5/2/1994,4,27.0,5.0
65,cin87,87,cin,C.J. Uzomah,TE,16,16.0,260.0,6-6,Auburn,1/14/1993,6,28.0,4.0
66,cin26,26,cin,Trae Waynes,CB,5,4.0,190.0,6-0,Michigan St.,7/25/1992,6,29.0,1.0
67,cin84,84,cin,Mitchell Wilcox,TE,15,1.0,247.0,6-4,South Florida,11/7/1996,Rook,25.0,0.0
68,cin73,73,cin,Jonah Williams,OL,16,16.0,305.0,6-4,Alabama,11/17/1997,1,24.0,9.0
69,cin12,12,cin,Pooka Williams,RB,1,0.0,170.0,5-10,Kansas,6/19/1999,Rook,22.0,0.0
70,cin32,32,cin,Trayveon Williams,RB,5,0.0,206.0,5-8,Texas A&M,10/18/1997,2,24.0,0.0
