,RosterID,No.,Acronym,Name,Position,GamesPlayed,GamesStarted,Weight,Height,College,BirthDate,Years,Age,AV
160,cin22ChidobeAwuzie,22,cin,Chidobe Awuzie,CB,14.0,14.0,202.0,6-0,Colorado,5/24/1995,4,26.0,5.0
161,cin49JoeBachie,49,cin,Joe Bachie,LB,9.0,2.0,235.0,6-2,Michigan St.,2/26/1998,1,23.0,2.0
162,cin51MarkusBailey,51,cin,Markus Bailey,LB,16.0,3.0,235.0,6-0,Purdue,3/7/1997,1,24.0,3.0
163,cin30JessieBates,30,cin,Jessie Bates III,FS,15.0,15.0,200.0,6-1,Wake Forest,2/26/1997,3,24.0,6.0
164,cin24VonnBell,24,cin,Vonn Bell,SS,16.0,16.0,205.0,5-11,Ohio St.,12/12/1994,5,27.0,6.0
165,cin83TylerBoyd,83,cin,Tyler Boyd,WR,16.0,10.0,203.0,6-2,Pittsburgh,11/15/1994,5,27.0,8.0
166,cin09JoeBurrow,9,cin,Joe Burrow,QB,16.0,16.0,221.0,6-4,"Ohio St.,LSU",12/10/1996,1,25.0,15.0
167,cin48AustinCalitro,48,cin,Austin Calitro,RILB,5.0,0.0,240.0,6-0,Villanova,1/10/1994,3,27.0,0.0
168,cin79JacksonCarman,79,cin,Jackson Carman,G,17.0,6.0,330.0,6-5,Clemson,1/22/2000,0,21.0,4.0
169,cin01Ja'MarrChase,1,cin,Ja'Marr Chase,WR,17.0,17.0,200.0,6-1,LSU,3/1/2000,0,21.0,13.0
170,cin76MikeDaniels,76,cin,Mike Daniels,DT,2.0,1.0,310.0,6-0,Iowa,5/5/1989,9,32.0,1.0
171,cin35JalenDavis,35,cin,Jalen Davis,CB,15.0,0.0,185.0,5-10,Utah St.,2/2/1996,3,25.0,1.0
172,cin33SeanDavis,33,cin,Sean Davis,FS,3.0,0.0,202.0,6-1,Maryland,10/23/1993,5,28.0,0.0
173,cin59AkeemDavis-Gaither,59,cin,Akeem Davis-Gaither,LB,9.0,0.0,215.0,6-2,Appalachian St.,9/21/1997,1,24.0,1.0
174,cin25ChrisEvans,25,cin,Chris Evans,RB,14.0,1.0,219.0,5-11,Michigan,10/5/1997,0,24.0,2.0
175,cin50JordanEvans,50,cin,Jordan Evans,ILB,5.0,0.0,242.0,6-3,Oklahoma,1/27/1995,4,26.0,0.0
176,cin33TreFlowers,33,cin,Tre Flowers,SS,11.0,1.0,203.0,6-3,Oklahoma St.,6/2/1995,3,26.0,1.0
177,cin03ElliottFry,3,cin,Elliott Fry,K,1.0,0.0,170.0,6-0,South Carolina,12/12/1994,1,27.0,0.0
178,cin29VernonHargreaves,29,cin,Vernon Hargreaves III,CB,4.0,1.0,204.0,5-10,Florida,6/3/1995,5,26.0,1.0
179,cin46ClarkHarris,46,cin,Clark Harris,TE,17.0,0.0,250.0,6-5,Rutgers,7/10/1984,13,37.0,1.0
180,cin41TrayvonHenderson,41,cin,Trayvon Henderson,S,2.0,0.0,205.0,6-0,Hawaii,8/15/1995,3,26.0,1.0
181,cin91TreyHendrickson,91,cin,Trey Hendrickson,DE,16.0,14.0,270.0,6-4,Florida Atlantic,12/5/1994,4,27.0,11.0
182,cin85TeeHiggins,85,cin,Tee Higgins,WR,14.0,14.0,215.0,6-4,Clemson,1/18/1999,1,22.0,10.0
183,cin92B.J.Hill,92,cin,B.J. Hill,DT,16.0,2.0,303.0,6-3,North Carolina St.,4/20/1995,3,26.0,3.0
184,cin63TreyHill,63,cin,Trey Hill,C,13.0,3.0,320.0,6-4,Georgia,1/23/2000,0,21.0,2.0
185,cin21MikeHilton,21,cin,Mike Hilton,CB,17.0,9.0,184.0,5-9,Mississippi,3/9/1994,4,27.0,4.0
186,cin44DariusHodge,44,cin,Darius Hodge,DE,4.0,0.0,245.0,6-1,Marshall,7/3/1998,0,23.0,0.0
187,cin66TreyHopkins,66,cin,Trey Hopkins,G,15.0,15.0,316.0,6-3,Texas,7/6/1992,7,29.0,7.0
188,cin94SamHubbard,94,cin,Sam Hubbard,DE,16.0,16.0,265.0,6-5,Ohio St.,6/29/1995,3,26.0,9.0
189,cin10KevinHuber,10,cin,Kevin Huber,P,17.0,0.0,210.0,6-1,Cincinnati,7/16/1985,12,36.0,3.0
190,cin16TrentonIrwin,16,cin,Trenton Irwin,WR,7.0,0.0,207.0,6-2,Stanford,12/10/1995,2,26.0,0.0
191,cin74FredJohnson,74,cin,Fred Johnson,G,5.0,1.0,326.0,6-7,Florida,6/5/1997,2,24.0,1.0
192,cin44ClayJohnston,44,cin,Clay Johnston,LB,7.0,1.0,225.0,6-1,Baylor,8/8/1996,1,25.0,1.0
193,cin47KeandreJones,47,cin,Keandre Jones,LB,5.0,0.0,220.0,6-3,Maryland,9/24/1997,1,24.0,0.0
194,cin90KhalidKareem,90,cin,Khalid Kareem,DL,7.0,1.0,265.0,6-4,Notre Dame,4/28/1998,1,23.0,1.0
195,cin29NickMcCloud,29,cin,Nick McCloud,CB,2.0,0.0,193.0,6-0,"North Carolina St.,Notre Dame",7/9/1998,0,23.0,0.0
196,cin02EvanMcPherson,2,cin,Evan McPherson,K,16.0,0.0,195.0,5-10,Florida,7/21/1999,0,22.0,4.0
197,cin28JoeMixon,28,cin,Joe Mixon,RB,16.0,16.0,220.0,6-1,Oklahoma,7/24/1996,4,25.0,10.0
